formula,target
LiMnH6O7,18.671418281746387
LiY(MoO4)2,5.1871652886705375
Ca7OsN6,4.769929981387636
Zn3In2O6,15.970936415221868
Mn3BiO8,23.74452833532982
TiZn(BiO3)2,15.085330684736551
LiTeHO4,22.46511570231629
ScClO,0.004150123748431961
Te3MoWSe,0.0
LiB2SbO6,2.3723190323671117
NaHO,5.380770650660907
BaY3Cl11,0.15938461428979353
Sr(YS2)2,14.82849702610084
HgB4O7,18.41438498062963
LiV2OF7,8.409853329360395
LiCr(CO3)2,2.1887667605921783
NbCu(PO4)2,10.463683324093767
Li2Co2Si2O7,3.1456694742082383
ZnFeO2F5,7.504888097984942
K2RbScBr6,2.0151854538679514
RbFeO2,24.08796533872789
SnHg2(SBr)2,13.528103326401919
Mg3Mn4O7,0.0
Zn4CoSe5,6.681550068575129
TiFeO3,25.442568191282394
CaY2O4,0.4006173081807749
LiIn(MoSe)6,5.54104754104674
V3NiO8,32.075963662484305
TiPO4,0.0
Li3Ti(PO4)2,1.163909699509893
Sr(InTe2)2,26.19047393084254
P2WO8,23.532798371647374
Cd(CO2)2,2.0777133625928865
MgFe4CoO8,22.963122875480014
Li2TiMn2O6,26.08256069498381
Pb(SeO3)2,30.13264068651806
K2NaTlBr6,5.0859898154031145
Y2TeO6,19.574000949116783
ScBrO,1.0062703929171517
K3H3Pd,24.944317593529913
Na2FeO2,8.25543378367916
SnO,23.75915556813358
Cs2TlGaBr6,20.150016219435006
Co(HO)2,8.844157140716973
Li2V(CO3)3,9.646540255538682
Cs2NaMoI6,7.734774857859404
Li2Co(NiO3)2,30.968776510255967
Fe2O3,13.76391686525435
MgCu2(SiO3)4,27.162833439869278
ClF,12.960646046711997
Li2BiP3O10,7.976962110146554
CoH9(CN2)3,2.4698806668130113
Na7VN4,10.46885395421723
Hf(WO4)2,0.0592205562873709
Ge2N2O,10.306367795328809
Mg2SnO4,6.641970983566525
Li(CoO2)2,15.280769384606105
MnCN2,10.495087331875677
LiMnBO4,6.8720744890310295
Co(PO3)2,1.2504060818509755
NbAgO3,30.543119136555934
Ba3Y2Br12,0.23873790339416118
In2CuTe3Cl,16.279626382240245
LiZnFeO3,22.024586957211987
NbGa(PbO3)2,8.765193133510655
NaSb3O8,7.168769902922229
Na2VO3,23.31232865905345
LiNiSnO4,21.60460530443983
Hf3N2O3,1.5354760010870474
K2Cr2O7,11.276450961977536
K2TlSbCl6,28.6822794086541
Cd(HO)2,18.49540836572189
LiSn2N3,24.22478606177645
NaCaH3,0.5963020858514657
Li2Ti2S5,32.43597861573486
Li3Sb2(PO4)3,0.5826490885590101
LiVP2O7,9.69918598179612
As2S2F3,10.643245838971522
Li2Fe2CoO6,5.721898699758628
MnV3O8,31.6820586764445
Ba7GeN6,19.765581067715146
Li5MnOF5,11.753351706659585
CrCl2,24.146307115292263
MgZnO2,6.838892877833104
SrCrO3,15.22207807576201
Li2Cr3NiO8,15.03791177033332
K2InSbI6,5.541067616390474
NaB(CO2)4,0.953257553398929
VCdO3,0.0
Na4MgO3,28.27995097303982
Cu2(ReSe2)3,3.314043051715082
